id;title;fonoteegi_nr;description;eetris;kestus;toimetajad;kategooria;esinejad;url;video
27;PÄEVAKAJA. Kalevi-Liiva mõrvarid kohtu ees. 2. saade.;ASCDR-248.2;"";07.03.1961;00:39:43;"";Päevakaja;"Rummo Paul, Raudsalu Valter, Kurovski Pavel, Ranne Jaan, Rebane Ilmar, Lääts Jaan, Laurant";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-kalevi-liiva-morvarid-kohtu-ees-2-saade;https://media.err.ee:80/arhiiv/@/AUDIO/a_29499_RMARHIIV.m4a
28;PÄEVAKAJA. Kalevi-Liiva mõrvarid kohtu ees. 3. saade.;ASCDR-249.1;"";09.03.1961;00:33:56;"";Päevakaja;"Rebane Ilmar, Mart Johannes, Ait Oskar, Viik Jaan, Raudsalu Valter, Tomberg, Meos Edgar, Marini Salvador, Suits Edgar, Rull Salme, Art Jüri, Kornet Ida, Vankov Helene, Bestmän Raimund";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-kalevi-liiva-morvarid-kohtu-ees-3-saade;https://media.err.ee:80/arhiiv/@/AUDIO/a_29487_RMARHIIV.m4a
29;PÄEVAKAJA. Kalevi-Liiva mõrvarid kohtu ees. 4. saade.;ASCDR-249.2;"";11.03.1961;00:27:30;Veldermann Hubert;Päevakaja;"Veldermann Hubert, Raudsalu Valter, Valdov Alfred, Leuschner Günther, Wagner Berthil, Simson Robert";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-kalevi-liiva-morvarid-kohtu-ees-4-saade;https://media.err.ee:80/arhiiv/@/AUDIO/a_29488_RMARHIIV.m4a
30;Päevakaja: PÄEVAKAJA. Esimene inimene kosmoses - Juri Gagarin.;ASCDR-241.1;"";12.04.1961;00:39:37;"";Päevakaja;"Korv Heljo, Mikko Klaus, Levitan Juri, Puussepp Endel, Kuusberg Paul, Priilinn Oskar, Arumeel Ants, Hint Aadu, Undusk Johannes, Ernesaks Gustav";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-esimene-inimene-kosmoses-juri-gagarin;https://media.err.ee:80/arhiiv/@/AUDIO/a_29462_RMARHIIV.m4a
31;Päevakaja: PÄEVAKAJA. Juri Gagarini vastuvõtt Moskvas.;ASCDR-290.1;"";14.04.1961;00:31:28;"";Päevakaja;"Irjas Heino, Ilves Elfriede, Gagarin Juri, Undusk Johannes, Kivi Leo, Annus Uno, Liim Valter, Käär Albert";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-juri-gagarini-vastuvott-moskvas;https://media.err.ee:80/arhiiv/@/AUDIO/a_30452_RMARHIIV.m4a
32;Päevakaja: PÄEVAKAJA. 22. juuni 1961.;ASCDR-247.1;"";22.06.1961;00:35:39;Kaasik Feliks;Päevakaja;"Kaasik Feliks, Ilves Elfriede, Ripus Aino, Raudla Ingrid, Korškova Olja, Hitler Adolf, Afanasjev Ivan, Jegorov, Kosmodemjanskaja Ljubov, Lauri Lembit, Sirge Rudolf";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-22-juuni-1961;https://media.err.ee:80/arhiiv/@/AUDIO/a_29496_RMARHIIV.m4a
33;PÄEVAKAJA. German Titovi vastuvõtt Moskvas.;ASCDR-294.1;"";09.08.1961;00:23:39;"Prits Lembit, Kaasik Feliks";Päevakaja;"Prits Lembit, Kaasik Feliks, Korv Heljo, Irjas Heino, Titov German, Metsaalt Efrosiina, Põldmäe Selma, Käär Albert, Hmelova Silvia";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-german-titovi-vastuvott-moskvas;https://media.err.ee:80/arhiiv/@/AUDIO/a_31315_RMARHIIV.m4a
34;PÄEVAKAJA. Nõukogude - India sõprusmiiting Moskvas;RMARH-103944;"";19.09.1961;00:04:05;Rebane Valdur;Päevakaja;"Rebane Valdur, Nehru Jawaharlal";https://arhiiv.err.ee/vaata/paevakaja-noukogude-india-soprusmiiting-moskvas;https://media.err.ee:80/arhiiv/@/AUDIO/a_103944_RMARHIIV.m4a
35;PÄEVAKAJA NR 1007. 20.01.1962.;RMARH-83005;"";20.01.1962;00:13:46;Rebane Valdur;Päevakaja;"Rebane Valdur, Ripus Aino, Padrik Endel, Kallas Anton, Koppel Marta, Fogel Ferdinand, Daltemoni";https://arhiiv.err.ee/vaata/paevakaja-nr-1007-20-01-1962;https://media.err.ee:80/arhiiv/@/AUDIO/a_83005_RMARHIIV.m4a
36;Päevakaja: PÄEVAKAJA. Andres Särev - 60.;ASCDR-322.6;"";08.02.1962;00:05:26;Kaasik Feliks;Päevakaja;"Kaasik Feliks, Särev Andres";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-andres-sarev-60;https://media.err.ee:80/arhiiv/@/AUDIO/a_31608_RMARHIIV.m4a
37;Päevakaja: PÄEVAKAJA. Johannes Semper - 70.;ASCDR-514.1;"";21.03.1962;00:05:21;"";Päevakaja;"Semper Johannes, Smuul Juhan";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-johannes-semper-70;https://media.err.ee:80/arhiiv/@/AUDIO/a_17953_RMARHIIV.m4a
38;PÄEVAKAJA. 20.04.1962. ÜLKNÜ 14. kongress.;RMARH-83066;"";20.04.1962;00:07:11;Rebane Valdur;Päevakaja;"Rebane Valdur, Samma Markus, Pastuhhov, Pavlov Sergei, Suuressaar Taimo, Meriväli Tarmo";https://arhiiv.err.ee/vaata/paevakaja-20-04-1962-ulknu-14-kongress;https://media.err.ee:80/arhiiv/@/AUDIO/a_83066_RMARHIIV.m4a
39;PÄEVAKAJA. 21.04.1962. Johannes Hint ja Lenini preemia.;RMARH-83062;"";21.04.1962;00:03:17;Rebane Valdur;Päevakaja;"Rebane Valdur, Hint Johannes";https://arhiiv.err.ee/vaata/paevakaja-21-04-1962-johannes-hint-ja-lenini-preemia;https://media.err.ee:80/arhiiv/@/AUDIO/a_83062_RMARHIIV.m4a
40;PÄEVAKAJA. 09.05.1962. Lembit Lauri reportaaž võidupüha puhul.;RMARH-83067;"";09.05.1962;00:06:20;"";Päevakaja;"Feldmann August, Mullas Olav, Võrk Vassili, Meri Arnold";https://arhiiv.err.ee/vaata/paevakaja-09-05-1962-lembit-lauri-reportaaz-voidupuha-puhul;https://media.err.ee:80/arhiiv/@/AUDIO/a_83067_RMARHIIV.m4a
41;PÄEVAKAJA. 13.06.1962. Heiti Raidi reportaaž Priit Nigula matustelt.;RMARH-83068;"";13.06.1962;00:05:17;Rebane Valdur;Päevakaja;"Rebane Valdur, Uusman Paul, Kuusik Tiit, Päiel Ants";https://arhiiv.err.ee/vaata/paevakaja-13-06-1962-heiti-raidi-reportaaz-priit-nigula-matustelt;https://media.err.ee:80/arhiiv/@/AUDIO/a_83068_RMARHIIV.m4a
42;PÄEVAKAJA. Järelehüüe Paul Viidingule.;RMARH-97954;"";28.06.1962;00:02:23;"";Päevakaja;Rummo Paul;https://arhiiv.err.ee/vaata/paevakaja-jarelehuue-paul-viidingule;https://media.err.ee:80/arhiiv/@/AUDIO/a_97954_RMARHIIV.m4a
43;PÄEVAKAJA. 1962. Aleksandr Prokofjev esinemine.;RMARH-83070;"";31.07.1962;00:02:15;Rebane Valdur;Päevakaja;"Rebane Valdur, Prokofjev Aleksandr";https://arhiiv.err.ee/vaata/paevakaja-1962-aleksandr-prokofjev-esinemine;https://media.err.ee:80/arhiiv/@/AUDIO/a_83070_RMARHIIV.m4a
44;PÄEVAKAJA 11.08.1962. Kosmoselend nr 3.;RMARH-80812;"";11.08.1962;00:05:10;Rebane Valdur;Päevakaja;"Rebane Valdur, Nikolajev Andrian, Hruštšov Nikita";https://arhiiv.err.ee/vaata/paevakaja-11-08-1962-kosmoselend-nr-3;https://media.err.ee:80/arhiiv/@/AUDIO/a_80812_RMARHIIV.m4a
45;PÄEVAKAJA. A. Nikolajevi ja P. Popovitši kosmoselend 1962.;RMARH-78723;"";11.08.1962;00:15:21;"Rebane Valdur, Laanemets Lembit";Päevakaja;"Rebane Valdur, Laanemets Lembit, Vainu Herbert, Kaasik Feliks, Juhanson, Leet Felix, Leppmaa Aleksander, Linkberg Jüri, Lupp Heinu, Tamberg Aleksander, Vahenurme Heldur, Kalam Urmo";https://arhiiv.err.ee/vaata/paevakaja-a-nikolajevi-ja-p-popovitsi-kosmoselend-1962;https://media.err.ee:80/arhiiv/@/AUDIO/a_78723_RMARHIIV.m4a
46;PÄEVAKAJA. Andrian Nikolajevi ja Pavel Popovitši maandumise päev.;RMARH-78724;"";15.08.1962;00:10:27;"Rebane Valdur, Laanemets Lembit";Päevakaja;"Rebane Valdur, Laanemets Lembit, Levitan Juri, Padrik Endel, Kondes Hugo, Rajavee Evald, Soosaar Oskar, Lilleväli Vello, Vainu Herbert";https://arhiiv.err.ee/vaata/paevakaja-andrian-nikolajevi-ja-pavel-popovitsi-maandumise-paev;https://media.err.ee:80/arhiiv/@/AUDIO/a_78724_RMARHIIV.m4a
47;PÄEVAKAJA. 11.09.1962. Kreeka laeva Theophorose päästmine.;RMARH-83073;"";11.09.1962;00:05:36;Rebane Valdur;Päevakaja;"Rebane Valdur, ";https://arhiiv.err.ee/vaata/paevakaja-11-09-1962-kreeka-laeva-theophorose-paastmine;https://media.err.ee:80/arhiiv/@/AUDIO/a_83073_RMARHIIV.m4a
48;PÄEVAKAJA. 14.09.1962. Ullo Toomi 60.;RMARH-83063;"";14.09.1962;00:04:39;Rebane Valdur;Päevakaja;"Rebane Valdur, Lauri Lembit, Toomi Ullo";https://arhiiv.err.ee/vaata/paevakaja-14-09-1962-ullo-toomi-60;https://media.err.ee:80/arhiiv/@/AUDIO/a_83063_RMARHIIV.m4a
49;PÄEVAKAJA. 21.09.1962.;RMARH-78559;"";21.09.1962;00:03:10;Rebane Valdur;Päevakaja;"Rebane Valdur, Stravinski Igor";https://arhiiv.err.ee/vaata/paevakaja-21-09-1962;https://media.err.ee:80/arhiiv/@/AUDIO/a_78559_RMARHIIV.m4a
50;PÄEVAKAJA. 26.10.1962. Bertrand Russell.;RMARH-81129;"";26.10.1962;00:04:12;Rebane Valdur;Päevakaja;"Rebane Valdur, Vainu Herbert, Russell Bertrand";https://arhiiv.err.ee/vaata/paevakaja-26-10-1962-bertrand-russell;https://media.err.ee:80/arhiiv/@/AUDIO/a_81129_RMARHIIV.m4a
51;PÄEVAKAJA. 04.11.1962. Ivan Leonovi tervitus oktoobripühade puhul.;RMARH-83072;"";04.11.1962;00:01:23;Rebane Valdur;Päevakaja;"Rebane Valdur, Leonov Ivan";https://arhiiv.err.ee/vaata/paevakaja-04-11-1962-ivan-leonovi-tervitus-oktoobripuhade-puhul;https://media.err.ee:80/arhiiv/@/AUDIO/a_83072_RMARHIIV.m4a
52;PÄEVAKAJA. 04.11.1962. Sergei Smirnov Talvepalee vallutamisest.;RMARH-83071;"";04.11.1962;00:01:48;Rebane Valdur;Päevakaja;"Rebane Valdur, Smirnov Sergei";https://arhiiv.err.ee/vaata/paevakaja-04-11-1962-sergei-smirnov-talvepalee-vallutamisest;https://media.err.ee:80/arhiiv/@/AUDIO/a_83071_RMARHIIV.m4a
53;PÄEVAKAJA. 17.11.1962.;RMARH-79982;"";17.11.1962;00:06:20;"Kaasik Feliks, Rebane Valdur";Päevakaja;"Kaasik Feliks, Rebane Valdur, Issajev Mihhail, Jakovlev Vassili";https://arhiiv.err.ee/vaata/paevakaja-17-11-1962;https://media.err.ee:80/arhiiv/@/AUDIO/a_79982_RMARHIIV.m4a
54;PÄEVAKAJA. Reportaaž Arnold Veimeri doktoriväitekirja kaitsmiselt.;RMARH-83254;"";30.11.1962;00:05:19;"";Päevakaja;"Veimer Arnold, Feigan Jakov, Ragozin Neofit, Sepre Oskar, Inti Eduard, Aarna Agu";https://arhiiv.err.ee/vaata/paevakaja-reportaaz-arnold-veimeri-doktorivaitekirja-kaitsmiselt;https://media.err.ee:80/arhiiv/@/AUDIO/a_83254_RMARHIIV.m4a
55;PÄEVAKAJA. 22.02.1963.;ASCDR-4355.1;"";22.02.1963;00:05:14;"";Päevakaja;Feodorov Dmitri;https://arhiiv.err.ee/vaata/paevakaja-22-02-1963;https://media.err.ee:80/arhiiv/@/AUDIO/a_20466_RMARHIIV.m4a
56;PÄEVAKAJA. 28.02.1963.;ASCDR-4355.2;"";28.02.1963;00:05:22;"";Päevakaja;Milli August;https://arhiiv.err.ee/vaata/paevakaja-paevakaja-28-02-1963;https://media.err.ee:80/arhiiv/@/AUDIO/a_20467_RMARHIIV.m4a
57;PÄEVAKAJA. 12.03.1963.;ASCDR-4355.4;"";12.03.1963;00:03:09;"";Päevakaja;Mihhalkov Sergei;https://arhiiv.err.ee/vaata/paevakaja-paevakaja-12-03-1963;https://media.err.ee:80/arhiiv/@/AUDIO/a_20469_RMARHIIV.m4a
58;PÄEVAKAJA. 12.03.1963.;ASCDR-4355.3;"";12.03.1963;00:05:27;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-12-03-1963-33585;https://media.err.ee:80/arhiiv/@/AUDIO/a_20468_RMARHIIV.m4a
59;PÄEVAKAJA. 18.03.1963.;ASCDR-4355.5;"";18.03.1963;00:03:55;"";Päevakaja;Smuul Juhan;https://arhiiv.err.ee/vaata/paevakaja-paevakaja-18-03-1963;https://media.err.ee:80/arhiiv/@/AUDIO/a_20470_RMARHIIV.m4a
60;PÄEVAKAJA. 20.03.1963.;ASCDR-4355.6;"";20.03.1963;00:06:44;"";Päevakaja;Laur Hugo;https://arhiiv.err.ee/vaata/paevakaja-paevakaja-20-03-1963;https://media.err.ee:80/arhiiv/@/AUDIO/a_20471_RMARHIIV.m4a
61;PÄEVAKAJA. 21.03.1963.;ASCDR-4355.7;"";21.03.1963;00:04:57;"";Päevakaja;"Laasi, Sepmann Henno";https://arhiiv.err.ee/vaata/paevakaja-paevakaja-21-03-1963;https://media.err.ee:80/arhiiv/@/AUDIO/a_18067_RMARHIIV.m4a
62;PÄEVAKAJA. TPI-s sulametalli elektromagnetilise pumba katsetamine;RMARH-103940;"";21.03.1963;00:06:17;Rebane Valdur;Päevakaja;"Rebane Valdur, Tiismus Hugo, Jänes Hans, Vainštein G.";https://arhiiv.err.ee/vaata/paevakaja-tpi-s-sulametalli-elektromagnetilise-pumba-katsetamine;https://media.err.ee:80/arhiiv/@/AUDIO/a_103940_RMARHIIV.m4a
63;PÄEVAKAJA. Jenissei aheldamine. 1963. 01;RMARH-104051;"";22.03.1963;00:06:12;Rebane Valdur;Päevakaja;"Rebane Valdur, ";https://arhiiv.err.ee/vaata/paevakaja-jenissei-aheldamine-1963-01;https://media.err.ee:80/arhiiv/@/AUDIO/a_104051_RMARHIIV.m4a
64;PÄEVAKAJA. Jenissei aheldamine. 1963. 02;RMARH-104052;"";23.03.1963;00:08:37;Rebane Valdur;Päevakaja;"Rebane Valdur, ";https://arhiiv.err.ee/vaata/paevakaja-jenissei-aheldamine-1963-02;https://media.err.ee:80/arhiiv/@/AUDIO/a_104052_RMARHIIV.m4a
65;PÄEVAKAJA. Jenissei aheldamine. 1963. 03;RMARH-104041;"";24.03.1963;00:06:10;Rebane Valdur;Päevakaja;"Rebane Valdur, ";https://arhiiv.err.ee/vaata/paevakaja-jenissei-aheldamine-1963-03;https://media.err.ee:80/arhiiv/@/AUDIO/a_104041_RMARHIIV.m4a
66;PÄEVAKAJA. Jenissei aheldamine. 1963. 04;RMARH-104042;"";25.03.1963;00:09:18;Rebane Valdur;Päevakaja;"Rebane Valdur, ";https://arhiiv.err.ee/vaata/paevakaja-jenissei-aheldamine-1963-04;https://media.err.ee:80/arhiiv/@/AUDIO/a_104042_RMARHIIV.m4a
67;PÄEVAKAJA. August Feldmann ja Palmiro Togliatti;RMARH-103942;"";26.03.1963;00:01:58;Rebane Valdur;Päevakaja;"Rebane Valdur, Feldmann August";https://arhiiv.err.ee/vaata/paevakaja-august-feldmann-ja-palmiro-togliatti;https://media.err.ee:80/arhiiv/@/AUDIO/a_103942_RMARHIIV.m4a
68;PÄEVAKAJA. Jenissei aheldamine. 1963. 05;RMARH-104043;"";26.03.1963;00:04:21;Rebane Valdur;Päevakaja;"Rebane Valdur, ";https://arhiiv.err.ee/vaata/paevakaja-jenissei-aheldamine-1963-05;https://media.err.ee:80/arhiiv/@/AUDIO/a_104043_RMARHIIV.m4a
69;PÄEVAKAJA. TA üldkogu istung;RMARH-103941;"";27.03.1963;00:05:18;Rebane Valdur;Päevakaja;"Rebane Valdur, Eichfeld Johan";https://arhiiv.err.ee/vaata/paevakaja-ta-uldkogu-istung;https://media.err.ee:80/arhiiv/@/AUDIO/a_103941_RMARHIIV.m4a
70;PÄEVAKAJA. Ruudi Toomsalu 50.;RMARH-84839;"";02.04.1963;00:05:13;Rebane Valdur;Päevakaja;"Rebane Valdur, Aarna Agu, Toomsalu Ruudi";https://arhiiv.err.ee/vaata/paevakaja-ruudi-toomsalu-50;https://media.err.ee:80/arhiiv/@/AUDIO/a_84839_RMARHIIV.m4a
71;PÄEVAKAJA. Karl Taev 60.;RMARH-84840;"";10.04.1963;00:03:43;Rebane Valdur;Päevakaja;"Rebane Valdur, Taev Karl";https://arhiiv.err.ee/vaata/paevakaja-karl-taev-60;https://media.err.ee:80/arhiiv/@/AUDIO/a_84840_RMARHIIV.m4a
72;PÄEVAKAJA. Nikolai Salmi sõnavõtt Leninist.;RMARH-84841;"";22.04.1963;00:05:20;Rebane Valdur;Päevakaja;"Rebane Valdur, Salm Nikolai";https://arhiiv.err.ee/vaata/paevakaja-nikolai-salmi-sonavott-leninist;https://media.err.ee:80/arhiiv/@/AUDIO/a_84841_RMARHIIV.m4a
73;PÄEVAKAJA. Professor Pavel Bogovski saabus tagasi USA-st.;RMARH-84842;"";18.05.1963;00:02:55;Rebane Valdur;Päevakaja;"Rebane Valdur, Mikk Vello, Bogovski Pavel";https://arhiiv.err.ee/vaata/paevakaja-professor-pavel-bogovski-saabus-tagasi-usa-st;https://media.err.ee:80/arhiiv/@/AUDIO/a_84842_RMARHIIV.m4a
74;PÄEVAKAJA. Lillepaviljonis avati näitus.;RMARH-58915;"";28.05.1963;00:02:48;"";Päevakaja;"";https://arhiiv.err.ee/vaata/paevakaja-lillepaviljonis-avati-naitus;https://media.err.ee:80/arhiiv/@/AUDIO/a_58915_RMARHIIV.m4a
